Borehole_N,X_coord,Y_coord,Elevation,maxdepth,Final_dept,Main_purpo
PH04,249852.32,722565.18,-263.15,50.0,50.00,Powerhouse
PH05,249889.04,722525.58,-259.84,25.25,25.25,Powerhouse
PH06,249880.66,722516.34,-260.97,30.0,30.00,Powerhouse
BH-F,249869.649,722608.388,-273.79,41.0,41.00,MAT
BH-G,249868.497,722583.497,-273.28,95.0,95.00,MAT
BH-H,249871.15,722589.46,-275.69,42.0,42.00,MAT
BH-I,249916.15,722583.32,-274.69,96.0,96.00,MAT
BH-J,249934.58,722585.86,-275.2,40.4,40.40,MAT
BH-B,250059.71,722600.3,-266.18,63.0,63.00,
BH-C,249981.21,722598.96,-272.37,54.8,63.00,
BH-D,250017.63,722579.86,-182.61,220.05,220.05,
BH-E,249904.77,722670.89,-264.99,30.0,30.00,
PH1D,249847.6,722650.0,-257.0,15.0,15.00,PH1D
MAT1015,249902.0,722586.4,-270.85,3.5,3.50,MAT
CET755,249980.56,722630.62,-265.91,6.1,6.1,CET
CET726,249982.0,722613.5,-268.15,5.5,5.5,CET
CET797,249947.2,722666.78,-262.8,5.2,5.20,CET
CET875,249870.0,722670.04,-262.8,3.2,2.20,CET
PH08,249847.45,722569.3,-269.56,36.0,36.00,Powerhouse
PH09,249853.12,722557.71,-272.66,45.0,45.00,Powerhouse
PH09-1,249852.6,722558.92,-272.37,31.0,31.00,Powerhouse
PH10,249866.36,722546.08,-275.0,20.1,20.10,Powerhouse
PH13,249834.15,722580.07,-286.18,33.0,33.00,Powerhouse
UW_PR48_1,249877.51,722516.48,-259.58,10.5,10.5,UW_Dummy
UW_PR40_6,249873.76,722522.98,-259.58,10.5,10.5,UW_Dummy
UW_PL34_8,249835.41,722587.9,-259.58,8.5,8.5,UW_Dummy
UW_PL25_7,249839.97,722580.02,-259.58,8.5,8.5,UW_Dummy
UW_PL19_2,249843.21,722574.4,-259.58,8.5,8.5,UW_Dummy
UW_PL13_1,249846.26,722569.11,-259.58,8.5,8.5,UW_Dummy
UW_PL07_0,249849.32,722563.82,-259.58,8.5,8.5,UW_Dummy
UW_PL04_5,249850.57,722561.66,-259.58,8.5,8.5,UW_Dummy
UW2a_PL34_8,249835.41,722587.9,-263.575,4,4,UW2a_Dummy
UW2a_PL25_7,249839.97,722580.02,-263.575,4,4,UW2a_Dummy
UW2a_PL19_2,249843.21,722574.4,-263.575,4,4,UW2a_Dummy
UW2a_PL13_1,249846.26,722569.11,-263.575,4,4,UW2a_Dummy
UW2a_PL07_0,249849.32,722563.82,-263.575,4,4,UW2a_Dummy
