,UCS,dry_weight,type
6,2.514465452029545,7.506042178518122,0.0
7,2.325324579963535,7.484368643286131,0.0
8,2.0831845279586703,7.461065514354283,0.0
9,2.615934912194404,7.494430215031565,0.0
10,2.209372711271867,7.4977617006225685,0.0
11,2.5915163848462583,7.512071245835466,0.0
12,1.7681496035889213,7.454141078146678,0.0
13,2.1174596088673567,7.495541943884256,0.0
14,1.9558604799084813,7.444833273892193,0.0
15,2.5572273113676265,7.541683099882111,0.0
16,2.0515563381903004,7.470224135899966,0.0
17,2.050270164379556,7.461640392208575,0.0
65,1.3480731482996928,7.473069088032197,0.6931471805599453
66,1.2178757094949273,7.459914766241105,0.6931471805599453
67,1.2919836816486494,7.518607216815252,0.6931471805599453
68,2.349468678892896,7.535830462798367,0.6931471805599453
69,2.405141681319138,7.584264818389059,0.6931471805599453
70,2.344686269012681,7.4489161025442,0.6931471805599453
71,2.382320061012899,7.457609289715606,0.6931471805599453
72,2.4706386779902956,7.478734825567875,0.6931471805599453
73,2.3664984187376983,7.449498005382849,0.6931471805599453
94,1.264126727145683,7.600902459542082,1.0986122886681098
99,3.8776385785663154,7.934871565945177,0.0
100,4.71644318839752,7.949091499830517,0.0
116,2.402430427963762,7.710653323501202,1.0986122886681098
118,3.3013770463799443,7.706162970199576,0.0
119,2.219420851733276,7.421177528595393,1.0986122886681098
120,2.738256043159276,7.802209316247118,0.0
121,2.0014800002101243,7.579167967396076,1.0986122886681098
122,4.314951565884313,7.9599745280805365,1.0986122886681098
124,4.341855469984605,7.893572073504902,0.0
127,2.33214389523559,7.6544432264701125,1.0986122886681098
128,2.543961412569315,7.480428306074208,1.0986122886681098
130,3.624340932976365,7.908754738783246,0.0
131,5.277604324950495,7.981049759665957,0.0
132,4.618382517460226,7.974188669286011,0.0
134,2.247072383063787,7.503289630675082,1.0986122886681098
137,2.982140320034524,7.668561108015897,0.0
138,3.9913885608088866,7.920083199053234,0.0
139,4.584967478670572,7.970740390007095,0.0
141,4.764564238138341,7.952966790923131,0.0
143,1.3350010667323406,7.508787170634276,0.0
145,4.109233174715851,7.938445551164788,0.0
146,0.9555114450274363,7.599401333415815,1.0986122886681098
147,4.7860073082206975,7.912423121473705,0.0
148,2.0014800002101234,7.579167967396076,1.0986122886681098
150,2.322387720290225,7.644440761556566,1.0986122886681098
151,3.1179499062782403,7.893572073504902,0.0
152,4.122283930911342,7.96693349840484,0.0
153,2.4905573212968144,7.563200592358071,0.0
154,2.5258886315096203,7.589504414589713,1.0986122886681098
155,4.531523645819793,7.908754738783246,0.0
157,1.7749523509116738,7.61972421378267,1.0986122886681098
158,3.822098297900159,8.028781162487148,0.0
159,2.186051276738094,7.463363045520021,1.0986122886681098
161,3.716008121502189,7.927324360309794,0.0
163,3.575105869854069,7.806289289267033,0.0
164,4.133565275375382,7.908754738783246,0.0
166,4.089332020398556,7.908754738783246,0.0
167,5.0682750735426705,7.945555428253489,0.0
169,4.185098925490565,7.850882664809852,0.0
171,2.9444389791664403,7.696667081526462,1.0986122886681098
172,3.708682081410116,7.878534196140362,0.0
173,4.990432586778736,7.974188669286011,0.0
175,3.784189633918261,7.956476798036782,0.0
176,4.484131857611035,7.96693349840484,0.0
177,2.433613355400449,7.594381242551817,1.0986122886681098
178,3.7160081215021883,7.927324360309794,0.0
179,1.33500106673234,7.508787170634276,0.0
181,4.564717914778416,7.944737632983836,0.0
183,4.074141854904581,7.866722285136729,0.0
185,4.283586561860629,7.882314918980268,0.0
186,3.8543938925915096,7.949091499830517,0.0
187,4.747537427275013,7.949091499830517,0.0
188,4.86830338551846,7.945555428253489,0.0
190,3.8776385785663146,7.934871565945177,0.0
191,4.5217885770490405,7.9599745280805365,0.0
192,3.1045866784660725,7.930925372483388,0.0
194,3.250374491927572,7.751045117971802,0.0
195,2.9932291433358733,7.6783263565068856,0.0
196,3.250374491927572,7.6783263565068856,0.0
197,2.302585092994046,7.710653323501202,0.0
199,2.6741486494265287,7.706162970199576,0.0
201,3.40452517175483,7.893572073504902,0.0
202,3.784189633918261,7.96346006663897,0.0
203,2.5493826689723647,7.60489448081162,1.0986122886681098
204,3.4531571205928664,7.668561108015897,0.0
205,2.4515566701064464,7.584264818389059,0.0
207,4.730656806029508,7.977625098784593,0.0
208,5.155601064346442,7.987864096085687,0.0
211,4.264087336809195,7.974188669286011,0.0
213,2.4336133554004498,7.594381242551817,1.0986122886681098
215,4.825108606353353,7.9599745280805365,0.0
216,3.2869082352600274,7.855027748465021,0.0
218,2.6461747973841225,7.6783263565068856,0.0
219,3.7013019741124933,7.945555428253489,0.0
220,3.775057150354989,7.96346006663897,0.0
222,3.104586678466073,7.930925372483388,0.0
223,4.685597435100706,7.945555428253489,0.0
227,3.708682081410115,7.878534196140362,0.0
229,4.143134726391533,7.9420068084898565,0.0
230,2.709715480421271,7.706162970199576,1.0986122886681098
231,3.456316680883235,7.8351837552667485,0.0
233,3.970291913552122,7.785876744738789,0.0
