,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class,type_str
0,0,BS-1,2805.0,0.83,149.2,52.5,0.26,1,BS-S,13.7697573904761,4,Basalt
1,1,BS-2,2732.0,0.84,125.6,54.6,0.26,1,BS-S,13.275438519047299,4,Basalt
2,2,BS-3,2758.0,0.91,83.4,58.1,0.14,1,BS-S,11.575993709523775,3,Basalt
3,3,BS - 4,2240.0,4.78,24.4,15.9,0.18,1,BS-W-Ves,5.1460864333331156,2,Basalt
4,4,BS - 5,2578.0,5.09,22.6,16.6,0.39,1,BS-W-Ves,6.629644169047547,2,Basalt
5,5,BS - 6,2411.0,2.54,88.1,34.9,0.24,1,BS-S,8.412490000000284,3,Basalt
6,6,BS - 19,1819.0,9.9,12.36,13.14302122806766,0.28480000000000016,1,BS-W_Am,1.4592005047618966,2,Basalt
7,7,BS - 20,1780.0,10.3,10.23,14.641223073757919,0.29000000000000004,1,BS-W_Am,1.4707546333333246,2,Basalt
8,8,BS - 21,1739.0,10.0,8.03,11.487622041766729,0.3292000000000001,1,BS-W_Am,1.4389248476190024,2,Basalt
9,9,BS - 22,1798.0,10.3,13.68,11.940387064101488,0.25340000000000007,1,BS-W_Am,1.6652560523809317,2,Basalt
10,10,BS - 23,1804.0,10.1,9.11,13.546293459526318,0.32839999999999997,1,BS-W_Am,1.3803104095237693,2,Basalt
11,11,BS - 24,1830.0,9.4,13.35,12.54199223693983,0.26720000000000005,1,BS-W_Am,1.5873422333333211,2,Basalt
12,12,BS - 25,1727.0,10.3,5.86,11.127906636031714,0.25240000000000007,1,BS-W_Am,1.8314112904761692,2,Basalt
13,13,BS - 26,1800.0,10.0,8.31,12.208490574774975,0.3516,1,BS-W_Am,1.3544450999999507,2,Basalt
14,14,BS - 27,1711.0,10.5,7.07,11.726928110596274,0.3090000000000001,1,BS-W_Am,1.788188338095205,2,Basalt
15,15,BS - 28,1885.0,9.0,12.9,14.011197643064834,0.25960000000000005,1,BS-W_Am,1.4518733952381087,2,Basalt
16,16,BS - 29,1755.0,11.5,7.78,11.381035947805161,0.33260000000000006,1,BS-W_Am,1.4933381476189995,2,Basalt
17,17,BS - 30,1740.0,12.1,7.77,11.799204296050378,0.33620000000000005,1,BS-W_Am,1.3279019999999524,2,Basalt
18,18,bs-31,2752.0,1.0,60.7,62.3,0.23,1,BS-S,10.592047842856752,3,Basalt
19,19,bs-32,2819.0,0.5,87.1,70.3,0.24,1,BS-S,12.47510921904759,3,Basalt
20,20,bs-33,2719.0,1.3,62.0,52.5,0.14,1,BS-S,8.969295666665932,3,Basalt
21,21,bs-34,2744.0,0.9,95.6,75.1,0.2,1,BS-S,12.691259600000082,4,Basalt
22,22,bs-35,2813.0,0.6,150.0,62.1,0.24,1,BS-S,16.373415500000164,4,Basalt
23,23,bs-36,2792.0,0.7,40.4,72.1,0.23,1,BS-S,10.557490423809572,3,Basalt
24,24,bs-37,2799.0,0.8,67.2,67.8,0.28,1,BS-S,9.443726885714264,3,Basalt
25,25,bs-38,2743.0,1.3,80.1,55.8,0.23,1,BS-S,11.022992371428487,3,Basalt
26,26,bs-39,2685.0,1.8,63.7,46.4,0.14,1,BS-S,9.165435666666326,3,Basalt
27,27,bs-40,2756.0,0.9,158.5,65.2,0.24,1,BS-S,15.661058266666814,4,Basalt
28,28,bs-41,2755.0,1.1,38.2,38.7,0.21,1,BS-S,8.586044499999684,3,Basalt
29,29,bs-42,2742.0,1.1,73.0,55.6,0.26,1,BS-S,10.834298347618839,3,Basalt
30,30,bs-43,2874.0,0.8,158.9,69.1,0.2,1,BS-S,14.106682833333485,4,Basalt
31,31,bs-44,2875.0,0.6,131.9,77.0,0.24,1,BS-S,13.611010000000606,4,Basalt
32,32,bs-45,2851.0,1.0,54.6,84.45,0.28,1,BS-S,9.340421957142912,3,Basalt
33,33,bs-46,2873.0,0.8,127.2,89.35,0.13,1,BS-S,13.428290000000409,4,Basalt
34,34,bs-47,2879.0,0.7,65.2,89.2,0.37,1,BS-S,10.714417309523961,3,Basalt
35,35,bs-48,2914.0,0.6,121.8,51.8,0.26,1,BS-S,13.674576352381107,4,Basalt
36,36,bs-49,2917.0,0.6,93.7,67.9,0.23,1,BS-S,13.437920133333312,3,Basalt
37,37,bs-50,2872.0,0.8,95.0,57.9,0.26,1,BS-S,13.747756690476171,3,Basalt
38,38,bs-51,2910.0,0.5,136.8,70.3,0.25,1,BS-S,13.285744000000271,4,Basalt
39,39,bs-52,2868.0,0.7,61.8,33.5,0.16,1,BS-S,8.594499128571567,3,Basalt
40,40,bs-53,2866.0,0.9,87.0,29.3,0.25,1,BS-S,10.054414128571763,3,Basalt
