,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,pred_class
0,BS-1,2805,0.83,149.2,52.5,0.26,1,,4
1,BS-2,2732,0.84,125.6,54.6,0.26,1,,4
2,BS-3,2758,0.91,83.4,58.1,0.14,1,,0
3,BS - 4,2240,4.78,24.4,15.9,0.18,1,,2
4,BS - 5,2578,5.09,22.6,16.6,0.39,1,,2
5,BS - 6,2411,2.54,88.1,34.9,0.24,1,,0
6,BS - 19,1819,9.9,12.36,10.415084709342798,0.15846599999999825,1,,2
7,BS - 20,1780,10.3,10.23,6.720295943454402,0.19132800000000005,1,,2
8,BS - 21,1739,10.0,8.03,7.951398690209283,0.17763999999999724,1,,2
9,BS - 22,1798,10.3,13.68,10.401335748959617,0.1565359999999991,1,,2
10,BS - 23,1804,10.1,9.11,9.50343064536979,0.1602139999999993,1,,2
11,BS - 24,1830,9.4,13.35,10.283514267594704,0.14502799999999846,1,,2
12,BS - 25,1727,10.3,5.86,7.961142990055643,0.17191599999999596,1,,2
13,BS - 26,1800,10.0,8.31,7.952274788471426,0.16241399999999853,1,,2
14,BS - 27,1711,10.5,7.07,8.980555990945675,0.18042399999999756,1,,2
15,BS - 28,1885,9.0,12.9,10.298563538193768,0.13181199999999826,1,,2
16,BS - 29,1755,11.5,7.78,8.266540160022842,0.17107799999999623,1,,2
17,BS - 30,1740,12.1,7.77,8.266540160022842,0.17349599999999651,1,,2
18,bs-31,2752,1.0,60.7,62.3,0.23,1,,0
19,bs-32,2819,0.5,87.1,70.3,0.24,1,,0
20,bs-33,2719,1.3,62.0,52.5,0.14,1,,0
21,bs-34,2744,0.9,95.6,75.1,0.2,1,,0
22,bs-35,2813,0.6,150.0,62.1,0.24,1,,4
23,bs-36,2792,0.7,40.4,72.1,0.23,1,,0
24,bs-37,2799,0.8,67.2,67.8,0.28,1,,0
25,bs-38,2743,1.3,80.1,55.8,0.23,1,,0
26,bs-39,2685,1.8,63.7,46.4,0.14,1,,0
27,bs-40,2756,0.9,158.5,65.2,0.24,1,,4
28,bs-41,2755,1.1,38.2,38.7,0.21,1,,0
29,bs-42,2742,1.1,73.0,55.6,0.26,1,,0
30,bs-43,2874,0.8,158.9,69.1,0.2,1,,4
31,bs-44,2875,0.6,131.9,77.0,0.24,1,,4
32,bs-45,2851,1.0,54.6,84.45,0.28,1,,0
33,bs-46,2873,0.8,127.2,89.35,0.13,1,,4
34,bs-47,2879,0.7,65.2,89.2,0.37,1,,0
35,bs-48,2914,0.6,121.8,51.8,0.26,1,,4
36,bs-49,2917,0.6,93.7,67.9,0.23,1,,0
37,bs-50,2872,0.8,95.0,57.9,0.26,1,,0
