,index,name,dry_weight,water_cont,UCS,elastic_mod,poisson,type,rock_type,T,pred_class
3,3,BS - 4,2240.0,4.78,24.4,15.9,0.18,1,BS-W-Ves,5.1460864333331156,3
4,4,BS - 5,2578.0,5.09,22.6,16.6,0.39,1,BS-W-Ves,6.629644169047547,4
6,6,BS - 19,1819.0,9.9,12.36,13.14302122806766,0.28480000000000016,1,BS-W_Am,1.4592005047618966,1
7,7,BS - 20,1780.0,10.3,10.23,14.641223073757919,0.29000000000000004,1,BS-W_Am,1.4707546333333246,1
8,8,BS - 21,1739.0,10.0,8.03,11.487622041766729,0.3292000000000001,1,BS-W_Am,1.4389248476190024,1
9,9,BS - 22,1798.0,10.3,13.68,11.940387064101488,0.25340000000000007,1,BS-W_Am,1.6652560523809317,1
10,10,BS - 23,1804.0,10.1,9.11,13.546293459526318,0.32839999999999997,1,BS-W_Am,1.3803104095237693,1
11,11,BS - 24,1830.0,9.4,13.35,12.54199223693983,0.26720000000000005,1,BS-W_Am,1.5873422333333211,1
12,12,BS - 25,1727.0,10.3,5.86,11.127906636031714,0.25240000000000007,1,BS-W_Am,1.8314112904761692,1
13,13,BS - 26,1800.0,10.0,8.31,12.208490574774975,0.3516,1,BS-W_Am,1.3544450999999507,1
14,14,BS - 27,1711.0,10.5,7.07,11.726928110596274,0.3090000000000001,1,BS-W_Am,1.788188338095205,1
15,15,BS - 28,1885.0,9.0,12.9,14.011197643064834,0.25960000000000005,1,BS-W_Am,1.4518733952381087,1
16,16,BS - 29,1755.0,11.5,7.78,11.381035947805161,0.33260000000000006,1,BS-W_Am,1.4933381476189995,1
17,17,BS - 30,1740.0,12.1,7.77,11.799204296050378,0.33620000000000005,1,BS-W_Am,1.3279019999999524,1
42,42,h-1,2164.0,5.7,18.1,27.4,0.06,1,BS-W-Ves,3.076723266666583,3
43,43,h-2,2164.0,5.8,17.3,8.3,0.09740000000000001,1,BS-W-Ves,2.5512811999999516,2
44,44,h-3,2187.0,5.5,21.7,10.5,0.11,1,BS-W-Ves,2.5788875000000355,3
45,45,h-4,2291.0,3.7,18.0,8.67,0.04,1,BS-W-Ves,3.7848909666665596,3
46,46,h-5,2191.0,4.4,8.6,17.2,0.22440000000000002,1,BS-W-Ves,2.349099690476184,2
47,47,g-1,2163.0,4.9,17.0,17.5,0.08,1,BS-W-Ves,3.066594999999939,3
